City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,Hereford,52.0568,-2.7148,291.33,60,100,6.32,GB,2022-04-17 15:53:54
130,Kaitangata,-46.2817,169.8464,279.29,93,4,1.84,NZ,2022-04-17 15:53:54
131,Pangkalanbuun,-2.6833,111.6167,297.89,90,88,0.48,ID,2022-04-17 15:53:55
132,Hilo,19.7297,-155.09,296.08,96,100,1.54,US,2022-04-17 15:53:55
133,Ponta Do Sol,32.6667,-17.1,297.11,41,100,5.51,PT,2022-04-17 15:53:55
134,Chenghai,23.4632,116.768,292.1,72,75,3.0,CN,2022-04-17 15:53:56
135,Rey Bouba,8.6724,14.1786,312.17,25,37,3.31,CM,2022-04-17 15:53:56
136,Sao Desiderio,-12.3633,-44.9733,301.96,66,97,0.35,BR,2022-04-17 15:54:56
137,Mogadishu,2.0371,45.3438,301.68,77,51,6.13,SO,2022-04-17 15:54:48
138,Yar-Sale,66.8333,70.8333,263.4,92,88,3.51,RU,2022-04-17 15:54:57
139,Santa Cruz De La Palma,28.6835,-17.7642,297.23,69,0,6.69,ES,2022-04-17 15:54:57
140,Severo-Kurilsk,50.6789,156.125,271.61,79,38,4.98,RU,2022-04-17 15:54:57
141,Tautira,-17.7333,-149.15,300.08,75,27,6.2,PF,2022-04-17 15:54:58
142,Saint-Philippe,-21.3585,55.7679,298.92,87,36,5.39,RE,2022-04-17 15:54:58
143,Lagoa,39.05,-27.9833,287.51,70,21,6.68,PT,2022-04-17 15:54:58
144,Conde,-7.2597,-34.9075,303.85,70,75,5.14,BR,2022-04-17 15:54:59
145,Pisco,-13.7,-76.2167,293.72,77,0,3.6,PE,2022-04-17 15:54:54
146,Kudahuvadhoo,2.6708,72.8944,302.28,70,51,5.36,MV,2022-04-17 15:54:59
147,Sisimiut,66.9395,-53.6735,266.52,60,100,2.39,GL,2022-04-17 15:54:59
148,Svetlyy,54.675,20.1347,280.91,55,65,4.59,RU,2022-04-17 15:55:00
149,Lazaro Cardenas,17.9583,-102.2,300.5,59,77,2.53,MX,2022-04-17 15:55:00
150,Katsuura,35.1333,140.3,287.36,74,72,2.91,JP,2022-04-17 15:55:00
151,Georgetown,5.4112,100.3354,302.01,88,40,2.57,MY,2022-04-17 15:50:53
152,Mason City,43.1536,-93.201,277.77,50,75,5.66,US,2022-04-17 15:50:09
153,Cayenne,4.9333,-52.3333,302.17,14,100,5.14,GF,2022-04-17 15:50:22
154,Klaksvik,62.2266,-6.589,282.66,96,100,5.82,FO,2022-04-17 15:55:01
155,Lechinkay,43.5647,43.4328,288.94,45,43,3.0,RU,2022-04-17 15:55:02
156,Palmer,42.1584,-72.3287,280.38,56,75,8.23,US,2022-04-17 15:52:00
157,Clarksville,36.5298,-87.3595,285.42,49,75,8.75,US,2022-04-17 15:51:05
158,Tuatapere,-46.1333,167.6833,279.87,90,1,1.69,NZ,2022-04-17 15:55:03
159,Shrewsbury,52.7101,-2.7521,291.82,58,100,7.19,GB,2022-04-17 15:52:25
