City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Monrovia,LR,2022-04-17 15:50:25,6.3005,-10.7969,304.02,73,100,3.17
89,Athabasca,CA,2022-04-17 15:53:43,54.7169,-113.2854,271.98,66,98,0.43
90,Ngunguru,NZ,2022-04-17 15:53:43,-35.6167,174.5,292.04,94,100,13.09
91,Golyshmanovo,RU,2022-04-17 15:53:43,56.3979,68.3728,276.88,67,32,2.69
92,Kungurtug,RU,2022-04-17 15:53:44,50.5994,97.5228,273.07,90,26,1.02
93,Pevek,RU,2022-04-17 15:50:20,69.7008,170.3133,255.77,95,100,1.36
94,Rosarito,MX,2022-04-17 15:53:44,32.3333,-117.0333,291.62,63,41,5.96
95,Monterey,US,2022-04-17 15:52:01,36.2505,-121.2516,286.03,66,0,1.0
96,Camopi,GF,2022-04-17 15:53:45,3.1655,-52.3158,300.72,80,99,1.88
97,Alyangula,AU,2022-04-17 15:53:45,-13.8483,136.4192,297.08,94,100,0.0
98,Hermanus,ZA,2022-04-17 15:53:45,-34.4187,19.2345,293.04,59,9,6.96
99,Tual,ID,2022-04-17 15:49:03,-5.6667,132.75,301.57,76,100,2.68
100,Bethel,US,2022-04-17 15:53:46,41.3712,-73.414,281.53,47,15,3.58
101,Kozhva,RU,2022-04-17 15:53:46,65.1073,57.0459,270.81,93,87,2.44
102,Bredasdorp,ZA,2022-04-17 15:53:46,-34.5322,20.0403,290.61,72,0,4.22
103,Iranshahr,IR,2022-04-17 15:53:46,27.2025,60.6848,308.34,13,53,5.14
104,Lasa,IT,2022-04-17 15:53:47,46.6166,10.7002,289.65,60,66,2.83
105,Necochea,AR,2022-04-17 15:53:47,-38.5473,-58.7368,293.31,51,78,1.65
106,Port Blair,IN,2022-04-17 15:53:47,11.6667,92.75,301.42,69,39,1.28
107,Pangnirtung,CA,2022-04-17 15:53:48,66.1451,-65.7125,259.83,91,100,2.81
108,Saint-Augustin,CA,2022-04-17 15:53:48,51.226,-58.6502,274.44,99,100,5.0
109,Khasan,RU,2022-04-17 15:53:48,42.4308,130.6434,281.13,59,91,2.45
110,Butaritari,KI,2022-04-17 15:53:49,3.0707,172.7902,300.5,74,20,5.33
111,Airai,TL,2022-04-17 15:53:49,-8.9266,125.4092,289.16,92,100,0.75
112,Cabedelo,BR,2022-04-17 15:53:49,-6.9811,-34.8339,304.52,70,76,4.18
113,Vredendal,ZA,2022-04-17 15:53:50,-31.6683,18.5012,299.35,26,0,5.19
114,Gat,IL,2022-04-17 15:53:50,31.61,34.7642,308.53,29,1,4.51
115,Susaki,JP,2022-04-17 15:53:50,33.3667,133.2833,285.83,79,100,2.12
116,Namatanai,PG,2022-04-17 15:53:51,-3.6667,152.4333,300.26,78,99,3.53
117,Vila Velha,BR,2022-04-17 15:52:02,-20.3297,-40.2925,301.12,61,0,7.72
118,Sistranda,NO,2022-04-17 15:53:51,63.7256,8.834,286.13,74,95,1.63
119,Swabi,PK,2022-04-17 15:53:51,34.1199,72.4699,301.17,16,74,2.88
120,Erzincan,TR,2022-04-17 15:53:52,39.75,39.5,285.79,50,95,2.08
121,Tuktoyaktuk,CA,2022-04-17 15:50:23,69.4541,-133.0374,257.15,66,100,3.09
122,Talnakh,RU,2022-04-17 15:53:52,69.4865,88.3972,260.49,96,100,3.64
123,Faanui,PF,2022-04-17 15:53:52,-16.4833,-151.75,300.47,71,10,5.05
124,Mazatan,MX,2022-04-17 15:53:53,14.8667,-92.45,306.19,55,0,4.12
125,Port Elizabeth,ZA,2022-04-17 15:51:35,-33.918,25.5701,292.31,92,20,4.63
126,Kargasok,RU,2022-04-17 15:53:53,59.0556,80.8572,274.05,78,100,5.17
127,New Norfolk,AU,2022-04-17 15:53:53,-42.7826,147.0587,289.77,61,100,1.34
128,Dikson,RU,2022-04-17 15:53:54,73.5069,80.5464,259.86,93,100,5.91
129,Hereford,GB,2022-04-17 15:53:54,52.0568,-2.7148,291.33,60,100,6.32
130,Kaitangata,NZ,2022-04-17 15:53:54,-46.2817,169.8464,279.29,93,4,1.84
131,Pangkalanbuun,ID,2022-04-17 15:53:55,-2.6833,111.6167,297.89,90,88,0.48
132,Hilo,US,2022-04-17 15:53:55,19.7297,-155.09,296.08,96,100,1.54
133,Ponta Do Sol,PT,2022-04-17 15:53:55,32.6667,-17.1,297.11,41,100,5.51
134,Chenghai,CN,2022-04-17 15:53:56,23.4632,116.768,292.1,72,75,3.0
135,Rey Bouba,CM,2022-04-17 15:53:56,8.6724,14.1786,312.17,25,37,3.31
136,Sao Desiderio,BR,2022-04-17 15:54:56,-12.3633,-44.9733,301.96,66,97,0.35
137,Mogadishu,SO,2022-04-17 15:54:48,2.0371,45.3438,301.68,77,51,6.13
138,Yar-Sale,RU,2022-04-17 15:54:57,66.8333,70.8333,263.4,92,88,3.51
139,Santa Cruz De La Palma,ES,2022-04-17 15:54:57,28.6835,-17.7642,297.23,69,0,6.69
140,Severo-Kurilsk,RU,2022-04-17 15:54:57,50.6789,156.125,271.61,79,38,4.98
141,Tautira,PF,2022-04-17 15:54:58,-17.7333,-149.15,300.08,75,27,6.2
142,Saint-Philippe,RE,2022-04-17 15:54:58,-21.3585,55.7679,298.92,87,36,5.39
143,Lagoa,PT,2022-04-17 15:54:58,39.05,-27.9833,287.51,70,21,6.68
144,Conde,BR,2022-04-17 15:54:59,-7.2597,-34.9075,303.85,70,75,5.14
145,Pisco,PE,2022-04-17 15:54:54,-13.7,-76.2167,293.72,77,0,3.6
146,Kudahuvadhoo,MV,2022-04-17 15:54:59,2.6708,72.8944,302.28,70,51,5.36
147,Sisimiut,GL,2022-04-17 15:54:59,66.9395,-53.6735,266.52,60,100,2.39
148,Svetlyy,RU,2022-04-17 15:55:00,54.675,20.1347,280.91,55,65,4.59
149,Lazaro Cardenas,MX,2022-04-17 15:55:00,17.9583,-102.2,300.5,59,77,2.53
150,Katsuura,JP,2022-04-17 15:55:00,35.1333,140.3,287.36,74,72,2.91
151,Georgetown,MY,2022-04-17 15:50:53,5.4112,100.3354,302.01,88,40,2.57
152,Mason City,US,2022-04-17 15:50:09,43.1536,-93.201,277.77,50,75,5.66
153,Cayenne,GF,2022-04-17 15:50:22,4.9333,-52.3333,302.17,14,100,5.14
154,Klaksvik,FO,2022-04-17 15:55:01,62.2266,-6.589,282.66,96,100,5.82
155,Lechinkay,RU,2022-04-17 15:55:02,43.5647,43.4328,288.94,45,43,3.0
156,Palmer,US,2022-04-17 15:52:00,42.1584,-72.3287,280.38,56,75,8.23
157,Clarksville,US,2022-04-17 15:51:05,36.5298,-87.3595,285.42,49,75,8.75
158,Tuatapere,NZ,2022-04-17 15:55:03,-46.1333,167.6833,279.87,90,1,1.69
159,Shrewsbury,GB,2022-04-17 15:52:25,52.7101,-2.7521,291.82,58,100,7.19
160,Syumsi,RU,2022-04-17 15:55:03,57.1111,51.6149,273.43,98,100,3.31
161,Asfi,MA,2022-04-17 15:55:04,32.2994,-9.2372,295.41,59,100,8.22
162,Provideniya,RU,2022-04-17 15:55:05,64.3833,-173.3,271.93,97,100,8.52
163,Chulman,RU,2022-04-17 15:55:05,56.8479,124.9104,259.8,96,99,1.98
164,Jaru,BR,2022-04-17 15:55:06,-10.4389,-62.4664,301.08,76,98,3.32
165,Tashtyp,RU,2022-04-17 15:55:06,52.7939,89.8983,283.66,74,95,1.82
166,Lazarev,RU,2022-04-17 15:55:06,52.225,141.5131,267.64,96,94,4.22
