City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
261,Cambridge,CA,281.01,43.3601,-80.3127,Cambridge Gateway Suites
262,Bengkulu,ID,298.43,-3.8004,102.2655,Grage Hotel Bengkulu
263,San Ramon,US,287.33,37.7799,-121.978,San Ramon Marriott
264,Sorland,NO,279.07,67.667,12.6934,Sjybrygga fiskecamp
265,Chumikan,RU,261.79,54.7183,135.315,Fortuna
270,Lima,PE,295.59,-12.0432,-77.0282,Hotel Kamana
271,Palu,ID,297.35,-0.8917,119.8707,Hotel Santika Palu
273,Port Macquarie,AU,288.65,-31.4333,152.9167,Rydges Port Macquarie
275,Tura,IN,294.82,25.5198,90.2201,Hotel RIKMAN Continental
276,Cidreira,BR,294.3,-30.1811,-50.2056,Hotel Castelo
277,Sitka,US,279.09,57.0531,-135.33,Westmark Sitka
279,Siilinjarvi,FI,283.16,63.0833,27.6667,Hotelli Sandels Oy
280,Buraydah,SA,299.98,26.326,43.975,Mövenpick Qassim
281,Abalak,RU,272.26,58.1286,68.5944,Туристический комплекс Абалак
282,Myitkyina,MM,296.54,25.3833,97.4,Shwe Phyu Hotel
283,Zhanakorgan,KZ,296.92,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
284,Totma,RU,271.93,59.9747,42.7642,Varnitsy
285,San Jose,US,288.2,37.3394,-121.895,The Westin San Jose
286,Roanoke Rapids,US,290.29,36.4615,-77.6542,Hampton Inn Roanoke Rapids
287,Alice Springs,AU,297.9,-23.7,133.8833,Desert Palms Alice Springs
290,Mayumba,GA,299.5,-3.432,10.6554,LIKWALE LODGE
291,Clyde River,CA,252.54,70.4692,-68.5914,Qamaq Hotel
292,Shingu,JP,287.18,33.7333,135.9833,Shingu UI Hotel
294,Ajdabiya,LY,290.66,30.7554,20.2263,Almadina Hotel
295,Changji,CN,291.59,44.0167,87.3167,Lvye Holiday Resort
296,Along,IN,290.62,28.1667,94.7667,Hotel West
297,Richards Bay,ZA,291.16,-28.783,32.0377,BON Hotel Waterfront Richards Bay
298,Tuatapere,NZ,279.9,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
299,Katsuura,JP,287.31,35.1333,140.3,Katsuura Hotel Mikazuki
300,Makakilo City,US,296.03,21.3469,-158.0858,Marriott's Ko Olina Beach Club
302,Cap Malheureux,MU,298.97,-19.9842,57.6142,Pereybere Hotel & Spa
304,Ordynskoye,RU,284.06,54.3656,81.8994,Lunevka
307,Berlevag,NO,278.15,70.8578,29.0864,Kvitbrakka
309,Brookings,US,274.47,44.3114,-96.7984,"Holiday Inn Express & Suites Brookings, an IHG Hotel"
311,Rocha,UY,294.03,-34.4833,-54.3333,Hotel Arrarte
312,Linxia,CN,278.9,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
313,Pleasant Grove,US,284.81,40.3641,-111.7385,"Holiday Inn Express & Suites American Fork- North Provo, an IHG Hotel"
314,Henties Bay,NA,290.54,-22.116,14.2845,Fishermans Guest House
315,Anadyr,RU,268.63,64.75,177.4833,Отке17.ру — жильё для командированных
316,Khash,IR,297.45,28.2211,61.2158,خوابگاه آبجی محدثه
317,Yook,PH,298.14,13.2261,121.964,Pielago's Residences
319,Maxixe,MZ,295.41,-23.8597,35.3472,Oceano
322,Grand-Lahou,CI,297.42,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
324,Lieksa,FI,275.48,63.3167,30.0167,Kaatrahovi
326,Inuvik,CA,259.5,68.3499,-133.7218,Nova Inn Inuvik
328,Petropavlovsk-Kamchatskiy,RU,267.47,53.0452,158.6483,The Hotel Petropavlovsky
329,Rawson,AR,291.94,-43.3002,-65.1023,Hosteria Sampedro
330,Tateyama,JP,285.98,34.9833,139.8667,Tateyama Seaside Hotel
331,Necochea,AR,293.64,-38.5473,-58.7368,dyd -mar Hotel
332,Kota Belud,MY,298.22,6.351,116.4305,Tang Dynasty Lodge Kota Belud
333,Upington,ZA,296.77,-28.4478,21.2561,River Place Manor
334,Gimli,CA,269.03,50.6336,-96.9907,Lakeview Gimli Resort
335,Ambon,ID,299.23,-3.6954,128.1814,Swiss-Belhotel Ambon
336,Portland,US,283.21,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
337,Pangnirtung,CA,258.92,66.1451,-65.7125,Kilabuk Lodge
339,Xai-Xai,MZ,294.8,-25.0519,33.6442,Complexo da Familia
340,Minna,NG,299.89,9.6139,6.5569,Royal Park hotel & suites
341,Kerman,IR,292.88,30.2832,57.0788,هتل آپارتمان آسام
342,Marshall,US,288.99,34.3834,-86.3333,Riverview Campground
343,Thompson,CA,270.15,55.7435,-97.8558,Burntwood Hotel
344,Chateauroux,FR,292.15,46.8167,1.7,Hôtel Kyriad Chateauroux
345,Burriana,ES,294.65,39.889,-0.085,Hotel Beatriz
346,Northam,GB,285.51,51.0333,-4.2167,Durrant House Hotel
347,Bardiyah,LY,290.79,31.7561,25.0865,بورتو بردية
348,Nikolsk,RU,281.52,53.7189,46.0712,Гостиница Центральная
350,Ambovombe,MG,297.03,-25.1667,46.0833,RELAHARA
351,Plouzane,FR,287.33,48.3833,-4.6167,Lymina
353,Garden City,US,279.14,42.3256,-83.331,Big Trees Mobile Home Community
354,Zelenoborskiy,RU,274.77,66.845,32.3622,Turisticheskaya baza
355,Korla,CN,287.56,41.7597,86.1469,Gulisitan Hotel
357,Koumac,NC,296.39,-20.5667,164.2833,Le Monitel
358,Nizhnyaya Omka,RU,279.21,55.4338,74.9426,"Gostinitsa Om', Zhkkh"
359,Olafsvik,IS,278.63,64.8945,-23.7142,Hotel Olafsvik
361,Udachnyy,RU,275.07,66.4167,112.4,Severnoye Siyaniye
364,Seabrook,US,286.9,38.9679,-76.845,Metro Points Hotel
365,Kirgiz-Miyaki,RU,279.68,53.6324,54.7979,Миякинский Дворик
366,Nome,US,272.19,64.5011,-165.4064,Dredge 7 Inn
368,Patacamaya,BO,288.95,-17.2333,-67.9167,RESIDENCIAL ISLA VIGU
369,Baghdad,IQ,298.01,33.3406,44.4009,Baghdad Hotel
370,Isangel,VU,299.25,-19.55,169.2667,Tanna Lodge
371,Flagstaff,US,290.99,35.1981,-111.6513,Drury Inn & Suites Flagstaff
375,Bourges,FR,293.92,47.25,2.4167,Thomas
376,Pembroke,CA,277.14,45.8168,-77.1162,Econo Lodge Inn & Suites
